gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
C20orf20,16.20583144956326,1.0118070979090017,0.12394017707488596,8.163673167076865,3.249874943785217e-16,1.4044729824628547e-13,12.852486610809255
PTPRCAP,29.54150493783634,-1.894143507942783,0.23215592346220865,-8.158928187981902,3.3801052322734666e-16,1.422312701685598e-13,12.847004911562074
TOMM34,32.03165294306262,0.9636425629232409,0.11824147297557239,8.149784831607441,3.645723648706347e-16,1.4947466959696023e-13,12.825432397883565
FLI1,4.421525038124266,-1.100280076410365,0.13565627983469725,-8.110793527222636,5.029024695705733e-16,1.9571465801289866e-13,12.708376646719488
ZEB2,3.9582180290943474,-1.110540450851735,0.13696638576919962,-8.108124081795463,5.140722724541428e-16,1.9571465801289866e-13,12.708376646719488
CCDC80,44.317982244912606,-1.810671484785615,0.2231950668511679,-8.112506742781266,4.958601960668729e-16,1.9571465801289866e-13,12.708376646719488
MAP4K1,4.261938663146908,-1.8668480709682476,0.2308358143240731,-8.087341543749176,6.098108759944319e-16,2.2676455598025502e-13,12.6444248260804
TTC28,3.599863744314664,-1.1187431901677716,0.13844975235027865,-8.080499756600107,6.450188638747559e-16,2.344057189399397e-13,12.630031796776132
ANLN,13.761303226015121,1.1926681996773005,0.14837422048441404,8.038244081643445,9.1134959271998e-16,3.238328886131662e-13,12.489679046200681
SELP,4.736469012002207,-1.6289119015224107,0.2035047032612522,-8.004296094480287,1.2015196790226756e-15,4.002562430744288e-13,12.397661885363368
BOC,5.181671624474929,-1.836700475813521,0.22938807470453235,-8.006957110474543,1.175814743687555e-15,4.002562430744288e-13,12.397661885363368
CXCR5,2.6975898262417672,-2.60145375166823,0.32493298830691336,-8.006123863333457,1.1838049500798948e-15,4.002562430744288e-13,12.397661885363368
ITIH5,6.451263274921235,-1.597856347684743,0.20011230513156839,-7.98479806943504,1.4075252176623177e-15,4.593128210289889e-13,12.33789143173333
MEF2C,6.394732249964687,-1.1830206087254382,0.14824432223434605,-7.98020855635407,1.4608624405945437e-15,4.671838085021351e-13,12.330512217265582
TMEM119,14.632946605431533,-1.3446723034227106,0.16857304833512246,-7.976792949425154,1.501844466130891e-15,4.70872412028097e-13,12.327096753717278
CERS2,90.32486616642132,0.7072479693931263,0.08884358530433177,7.960596895886898,1.7121131719277683e-15,5.264748003677887e-13,12.278622411417011
E2F1,9.135569847774487,1.174714231197671,0.14768565053497512,7.9541528032168145,1.8036141322302165e-15,5.441469806483238e-13,12.264283776289464
PTGDS,35.88852176417575,-2.0244717452205165,0.25467273258047757,-7.949307036947019,1.875576762165748e-15,5.553791190190798e-13,12.255410452755127
ARHGAP31,5.220250684468435,-0.9385608848691545,0.11828639435413478,-7.934647851884128,2.110934118633316e-15,6.137061192172132e-13,12.212039546377108
SVEP1,2.5107979814606716,-1.754609722062863,0.2212468621845138,-7.930551894560053,2.181741158216412e-15,6.229650199978647e-13,12.205536338651276
WAS,9.897690103809158,-1.4334567715729012,0.1809272047155514,-7.922837109137574,2.3215161860261146e-15,6.512463827115364e-13,12.186254675934695
EVL,7.147116594337962,-0.9920870775122531,0.1253805129500611,-7.912609816067669,2.520483669131197e-15,6.9487127361048e-13,12.158095641940244
COLEC12,5.569184666619994,-1.4928681038789955,0.18884625161073046,-7.905203789568725,2.6749562109783878e-15,7.249584714160072e-13,12.139686870879265
SLIT3,9.08130324000241,-1.662060182477532,0.21062113939379537,-7.891231560427569,2.9921886628454774e-15,7.843458478508063e-13,12.105492398165158
PAPLN,4.312932731224732,-1.1979184903518714,0.1517682922409517,-7.893074848928401,2.948306680070465e-15,7.843458478508063e-13,12.105492398165158
GLI1,2.2088731954262575,-1.4107482688850468,0.17941981178341634,-7.862834404196166,3.755373322984392e-15,9.685228941051681e-13,12.013890108898378
LSAMP,2.406521778406574,-1.3919206695675486,0.17733666351977959,-7.849029309228534,4.192696379480162e-15,1.0641462715537745e-12,11.972998672264115
DSN1,8.56871023790135,0.9338945601479429,0.11931762832636421,7.826962145052889,4.9979949718143324e-15,1.2295067630663257e-12,11.910269078023834
CDC6,10.634455612516904,1.4895593649191607,0.19027734208685346,7.828359112979625,4.942784170892715e-15,1.2295067630663257e-12,11.910269078023834
MYBL2,37.089107539243194,1.3717362254860062,0.17558391328481432,7.812425408590339,5.6097844203119876e-15,1.3300412415279265e-12,11.87613489234847
ZCCHC24,13.835471334900623,-1.4258433999005686,0.18250691741298275,-7.81254442358545,5.604488064448308e-15,1.3300412415279265e-12,11.87613489234847
RCSD1,6.158727745927566,-1.1968769256655238,0.15322207758135256,-7.8113868742580355,5.656210407998686e-15,1.3300412415279265e-12,11.87613489234847
RPN2,152.4426321430055,0.7258692184228185,0.09297264127418692,7.807342122099633,5.840656876424807e-15,1.3341729064861809e-12,11.874787882963169
