TF,mean_CIN,mean_GS,diff_CIN_vs_GS,stat,pvalue,padj
MYC,33.77517879698387,32.825784483875694,0.9493943131081792,5.23586619955748,9.864658712863257e-07,2.9693619155891422e-06
PPARG,8.527975172774218,9.156823545987582,-0.6288483732133638,-5.282080746804812,9.968954655699504e-07,2.970748487398452e-06
PAX6,5.950919986801478,6.513064305476735,-0.5621443186752577,-5.188695256664827,1.1311341228859801e-06,3.3374056299012083e-06
FOXM1,13.501131719341693,12.710012028314415,0.7911196910272782,5.22511337331072,1.235240011772171e-06,3.6088384657657544e-06
E2F1,37.80568050605669,36.86342944310198,0.9422510629547105,5.182603110212622,1.3144701776560317e-06,3.8030302227329846e-06
ETV6,6.207504851590474,6.482803796313244,-0.2752989447227705,-5.117495025129163,1.4369159799213618e-06,4.117316942466979e-06
CLOCK,10.10906707495695,10.816784437501838,-0.7077173625448872,-5.143571915926084,1.6819649095986029e-06,4.773576600575082e-06
SMAD3,15.333439625468596,16.264465361509437,-0.9310257360408407,-5.074150732580634,1.720299468696746e-06,4.7948983251552436e-06
ONECUT1,8.14173009336524,9.015756221731309,-0.8740261283660686,-5.121710412254434,1.721658123461782e-06,4.7948983251552436e-06
SOX11,6.907764460088525,7.82283644883733,-0.9150719887488048,-5.140218028585861,1.8597316566079634e-06,5.131481793233084e-06
RARB,1.506188027082444,1.8172546976461543,-0.3110666705637104,-5.056515777549489,2.3022569845248968e-06,6.2942438659488e-06
SP2,6.693065785397082,6.297014556058146,0.3960512293389362,5.030893624476272,2.3540503148419025e-06,6.37733630748079e-06
PBX2,11.518354959545452,12.336504573478745,-0.8181496139332936,-5.104782716509628,2.4914882964365808e-06,6.688860471514424e-06
ZEB1,12.777505822823848,13.34560109904368,-0.5680952762198324,-5.01335648203551,2.7698847106230158e-06,7.369871819336238e-06
FOXA1,38.517740777824734,40.745939041714514,-2.22819826388978,-4.917612831404402,4.032311948771566e-06,1.0633884608264837e-05
SATB1,3.905688567998876,4.293444521201858,-0.38775595320298173,-4.84648314877535,4.26197106871386e-06,1.1140941916462546e-05
MAF,7.026158010608244,7.577960342916625,-0.5518023323083812,-4.7904346508045785,6.360099278272145e-06,1.6480952912392167e-05
RXRB,1.8857345437006907,2.3155874132504177,-0.429852869549727,-4.764038797439781,7.020653640975733e-06,1.8035817112161796e-05
HOXB7,2.4683420621668035,2.827717968034142,-0.3593759058673385,-4.681568178229457,8.26955773857449e-06,2.10626342401299e-05
TFAP2C,45.907583779064666,47.772316428730164,-1.8647326496654983,-4.728231393048161,8.828786121097569e-06,2.2296425966839622e-05
MAX,12.119481637621618,12.482523952300538,-0.36304231467891945,-4.628934880362094,1.023648693702823e-05,2.563422779188582e-05
ELF5,7.172362336364269,6.8627863558318225,0.30957598053244606,4.6269855694438355,1.164891424346204e-05,2.8928137037930728e-05
PRDM14,24.045025326367476,25.310806670452344,-1.2657813440848678,-4.632153071666249,1.2815906260047638e-05,3.156314103714212e-05
JUND,11.030628996845842,11.519336529898942,-0.4887075330531001,-4.5249255955353105,1.6273321805285336e-05,3.974958932766418e-05
GATA1,7.2742250301840325,7.724978552767277,-0.45075352258324486,-4.569383384066555,1.751735941031604e-05,4.244043174206651e-05
XBP1,6.471686666603051,6.925698820983358,-0.4540121543803073,-4.564007691950422,1.80165665369277e-05,4.3297877645197215e-05
FOXK1,6.190247900130952,6.422659041543091,-0.2324111414121388,-4.529151493731981,1.8496066874851736e-05,4.385281221298365e-05
ETS1,51.26768515897958,52.35923126544243,-1.0915461064628502,-4.5109908729653085,1.8541793083342082e-05,4.385281221298365e-05
STAT3,18.96201556535702,19.875719886379958,-0.9137043210229372,-4.466786365646007,2.1539541838776946e-05,5.054160210988606e-05
KMT2B,7.1173576374058785,6.775585365966074,0.3417722714398046,4.475318090079597,2.265200585837424e-05,5.273670113902753e-05
ZNF584,5.414906561309892,5.268750633598769,0.1461559277111233,4.279952621021216,3.326327696514914e-05,7.684074833809646e-05
PRDM1,6.226305424951769,6.73782441952223,-0.5115189945704612,-4.35465324208769,3.5950120925563453e-05,8.240873873706084e-05
CEBPA,42.44731033646262,43.77109624019753,-1.3237859037349082,-4.329126646232383,3.7831191810203616e-05,8.605874167511968e-05
HINFP,7.9896100259904435,8.159640336848122,-0.17003031085767883,-4.1982365538946596,4.5272409638490076e-05,0.00010220589448689426
SNAPC4,9.213322041285306,8.79754187093305,0.4157801703522548,4.16921730444759,6.637844112816559e-05,0.00014872763500897254
NR4A1,7.2682727048891635,7.553748600218671,-0.28547589532950735,-4.14170880182405,7.411217210301738e-05,0.0001648166215425312
KLF13,11.978469304457409,12.39447827000398,-0.4160089655465704,-4.111988724118383,7.949744601277581e-05,0.00017548325119857178
NEUROD1,7.60202219210959,7.893694313625857,-0.29167212151626654,-4.138642441049531,8.088790979296319e-05,0.00017723968469340464
MAFG,9.905090167746772,10.324009128203274,-0.41891896045650157,-4.087248331820247,9.03007173780223e-05,0.00019642053853029668
CUX1,13.007819594879173,12.697719295772377,0.3101002991067965,4.100786228589042,9.29754042077223e-05,0.0002007729743036322
ASCL1,9.4828212834716,9.911607485592627,-0.428786202121028,-3.9903134653668837,0.00011891963331948787,0.00025484911425639094
TCF3,18.46908477770083,19.324422558011097,-0.8553377803102684,-4.049194854300014,0.00011972777179830447,0.00025484911425639094
MYCN,12.236852042373293,11.76392977919614,0.47292226317715347,3.9935053446281366,0.00012545126855115083,0.00026513814204427624
ZHX1,6.683711478683118,6.951768663838811,-0.2680571851556932,-3.984353138215776,0.0001317123652743405,0.00027533301402862895
ETV4,10.6091250948824,11.114765707539156,-0.505640612656757,-4.005317719516129,0.00013212288928219444,0.00027533301402862895
IKZF1,10.35825608887485,10.977605533017938,-0.6193494441430882,-3.977820272972008,0.00014437822595983994,0.00029878271761133547
ZBTB33,18.785588711680074,18.37873502019276,0.40685369148731354,3.952542599817337,0.00015056338989535587,0.00030943372544011067
RXRA,12.117421050940345,12.482337336024742,-0.3649162850843961,-3.9451874329026726,0.00015531665931331495,0.00031701619503676613
FOSL2,15.633792043503677,16.17835011569356,-0.5445580721898846,-3.9084674166990268,0.0001616282044145754,0.0003259893255123995
WT1,0.24729285794766132,0.5226547495121296,-0.27536189156446833,-3.8828328434216832,0.0001619007388450843,0.0003259893255123995
ATF4,15.135414984076977,14.660254082036793,0.4751609020401837,3.9050273573969028,0.000182987854861705,0.00036597570972341
MBD1,10.396148795570355,10.040939500287854,0.355209295282501,3.881748012262099,0.000185774892452954,0.0003690727863398686
CTCFL,10.989761726200946,11.613580485617582,-0.6238187594166362,-3.909263374560747,0.00018736294847578638,0.0003697626400383069
