TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
ARID3A,-0.1363266106197657,0.5920804141253534,-0.7284070247451191,0.0049452158893167454,0.008192820353942667
CREB3L1,0.253770290290423,-0.08041888053607799,0.33418917082650096,0.005596347377901384,0.0092256617665404
MZF1,-0.2683402468877873,0.0856854222525224,-0.3540256691403097,0.007403291650422662,0.012144315860052938
NPAS2,-0.059496917271402855,0.4426040892726295,-0.5021010065440323,0.007750805437066117,0.012652050051681457
FOXA2,0.20255503177582407,0.5198434855122694,-0.3172884537364454,0.007966263122992671,0.01294032009734907
IRF7,-0.21668447183936979,-0.38379899605052603,0.16711452421115625,0.008187068877167782,0.01323443658299452
MYBL2,-0.04179334228698643,-0.47081639109757856,0.4290230488105921,0.009544901454338374,0.015354841470022602
MEF2D,-0.07614872223397635,0.4114045842229192,-0.48755330645689554,0.009717177525692294,0.015482392899787244
ESR2,0.044362466307085596,0.33191496176476487,-0.28755249545767925,0.009717177525692294,0.015482392899787244
HNF1A,0.5697667005010345,0.18763577236497733,0.3821309281360572,0.01100269662302685,0.017447133216514005
LHX3,-0.04063820832562123,0.23074917615051907,-0.2713873844761403,0.011396737301814843,0.017986320007129585
SATB1,-0.007686006468033519,0.49968371709681336,-0.5073697235648469,0.01379603003521327,0.02167017925342462
MNT,-0.05832651668617321,0.754688461475134,-0.8130149781613072,0.015155159466518039,0.023693277475823976
CDX2,0.4088213357808677,1.166133755319281,-0.7573124195384133,0.018231238977550093,0.02836917093235599
CREB1,-0.0780414508536251,0.3632822425851713,-0.4413236934387964,0.02063008937934962,0.03195265006196941
HOXB7,0.13229336517608858,0.35511828007688284,-0.22282491490079426,0.02096987469865183,0.03232855682708824
WT1,-0.4802423015861797,0.059344160024759444,-0.5395864616109391,0.0214886951158573,0.03282447464945175
ZHX1,-0.1544453192707969,0.3103030008099924,-0.4647483200807893,0.0214886951158573,0.03282447464945175
ZNF644,-0.09032770905185446,0.330110520216403,-0.42043822926825747,0.022197818971863403,0.0337528480257101
GRHL2,0.2086574975631098,-0.42661499239932127,0.6352724899624311,0.024060304568719493,0.03641855191537996
NFYB,-0.12650387100276847,-0.43631691566127045,0.309813044658502,0.025041335055950343,0.03773196639652246
CDX1,-0.1759493930030113,-0.21715423200544248,0.04120483900243119,0.026894634371489645,0.04034195155723447
SP3,0.030006832018651293,0.5545343252931888,-0.5245274932745375,0.02931958340183856,0.04378215817404592
NFYC,-0.07995662901109905,-0.13531323801009276,0.05535660899899371,0.0344742192065139,0.05124962051682646
TFAP4,0.14172618153389033,0.5509434375137461,-0.40921725597985575,0.035270371711483936,0.052200150132996226
ZNF24,0.322912859741606,0.015346492973062733,0.30756636676854326,0.03718928850800756,0.05479660651843592
TWIST2,0.03506822417140466,0.33687322901325706,-0.3018050048418524,0.03919637577606679,0.05749952922215966
SOX13,-0.027555393824278004,0.3879173626333081,-0.41547275645758613,0.04008430727786002,0.05854418562950608
FOSL1,-0.013070528104576401,0.24163669232305512,-0.2547072204276315,0.04098924272848521,0.05960444466631255
EGR1,-0.03269245226122997,0.8922740136725715,-0.9249664659338015,0.041294709155332836,0.059787557168373195
NR2F1,0.0629217685790674,0.42873099129701797,-0.3658092227179506,0.04678988343569001,0.06745035144625443
TFAP2A,0.7081974862490523,0.024884052851365444,0.6833134333976869,0.04747509602262183,0.06814313351522876
TCF3,-0.7101942452239338,0.3154729530825393,-1.0256671983064731,0.04958154609255804,0.07086117960867737
HMBOX1,0.012948581994898713,0.5206222395471645,-0.5076736575522658,0.051765835659886406,0.0736667661313768
ZNF148,0.05550497102424911,0.25327810971696846,-0.19777313869271934,0.05288782658622745,0.07494317554559038
ZBTB7A,-0.05815125256745458,0.6422822445235867,-0.7004334970910413,0.05326631048561496,0.0751596669140245
ATF2,-0.28454688407362977,0.3585241048639971,-0.6430709889376269,0.05364705423989522,0.07537750659023253
SNAI1,0.0019078245978841682,0.12003928947229266,-0.11813146487440848,0.05558501645921165,0.07777231294503142
