Gene,Mean_CIN,Mean_GS,Delta_Z,p_value,q_value,neg_log10_q
MORF4L1,0.013912500000000001,-0.010024074074074062,0.02393657407407406,0.8893980758064459,0.9245874359172891,0.03405201242169352
SMIM12,-0.15132265624999997,-0.17471851851851852,0.023395862268518558,0.8896867272316502,0.9248424442353955,0.033932247182380124
IFNL2,-0.133571875,-0.15004444444444445,0.016472569444444446,0.8898940604049045,0.9250129003039531,0.0338522105131243
LINC01618,-0.12833828125,-0.14486481481481478,0.016526533564814788,0.8900010308854613,0.9250790214333683,0.0338211676862063
IFIT3,-0.2292671875,-0.2509481481481482,0.0216809606481482,0.8901480244450988,0.9251867346195831,0.03377060279594539
DDC,0.290025,0.2629574074074074,0.02706759259259256,0.8902190690058585,0.9252155025935302,0.03375709895111585
MTPN,0.09435390625,0.07057407407407408,0.023779832175925913,0.8903455249834457,0.9253018547187789,0.03371656731127455
RAPGEF2,-0.08525859375000003,-0.1054462962962963,0.020187702546296274,0.8904620968524113,0.9253328545295503,0.03370201765791289
ZNF566,0.17386640625000002,0.19960000000000003,-0.025733593750000006,0.8904235184591925,0.9253328545295503,0.03370201765791289
LIAS,-0.39783203124999994,-0.4161518518518517,0.018319820601851777,0.8909270927788601,0.925770968460792,0.03349644251515447
NUBPL,0.16264374999999998,0.18537222222222224,-0.022728472222222268,0.8912192580785049,0.9259392681326954,0.03341749752951834
ZNF750,0.02773046875,0.05444259259259258,-0.026712123842592576,0.8911878841778698,0.9259392681326954,0.03341749752951834
SLC9A4,0.08750546875000001,0.11285000000000002,-0.02534453125000001,0.891204047878789,0.9259392681326954,0.03341749752951834
KRTAP5-8,0.18279453124999998,0.15617222222222224,0.026622309027777735,0.8913234360526389,0.92600241079972,0.03338788265321419
TAF9B,0.26565859375,0.24052592592592587,0.02513266782407414,0.8916441169818421,0.9262904628625214,0.03325280744544038
WDR83,-0.11856250000000003,-0.09602222222222222,-0.022540277777777812,0.8920726927768501,0.926690568721107,0.033065256934885066
PDC,0.06362265624999996,0.10000185185185183,-0.03637919560185186,0.8921940447260923,0.926771505147825,0.033027327652137374
AMZ1,-0.11798906249999999,-0.09703703703703702,-0.020952025462962973,0.8923410889255632,0.9268561606670639,0.032987659033059565
INHBE,0.24034921874999998,0.20595370370370372,0.03439551504629626,0.8923974758342241,0.9268561606670639,0.032987659033059565
OR13F1,0.003907812500000038,0.028112962962962954,-0.024205150462962916,0.8924493137372156,0.9268561606670639,0.032987659033059565
HEBP1,0.042160937499999995,0.0669314814814815,-0.0247705439814815,0.8924297904984706,0.9268561606670639,0.032987659033059565
